Alfalfa,Almond,Apple,Apricot,Artichoke,Asparagus,Avocado,Bermudagrass seed,Blueberry,Caneberries,Carrot,Celery,Cherry,Cilantro,Citrus,Cole crops,Corn,Cotton,Cucurbits,Dry beans,Eggplant,Fig,Floriculture,Grape,Kiwifruit,Lettuce,Nectarine,Olive,Peach,Pear,Peppermint,Peppers,Pistachio,Plum,Pomegranate,Potato,Prune,Rice,Small grains,Spinach,Strawberry,Sugarbeet,Tomato,Turfgrass,Walnut
Colias eurytheme,Malacosoma disstria,Pandemis pyrusana,Alsophila pometaria,Mythimna unipuncta,Spodoptera exigua,Amorbia cuneana,Mythimna unipuncta,Epiphyas postvittana,Pennisetia marginata,Estigmene acrea,Spodoptera exigua,Euzophera semifuneralis,Spodoptera exigua,Amorbia cuneana,Spodoptera exigua,Mythimna unipuncta,Autographa californica,Spodoptera exigua,Spodoptera exigua,Spodoptera exigua,Prionoxystus robiniae,Spodoptera exigua,Orthodes rufula,Platynota stultana,Mythimna unipuncta,Archips argyrospila,Euzophera semifuneralis,Archips argyrospila,Cydia pomonella,Fumibotys fumalis,Spodoptera praefica,Amyelois transitella,Euzophera semifuneralis,Cydia latiferreana,Agrotis ipsilon,Euzophera semifuneralis,Mythimna unipuncta,Mythimna unipuncta,Spodoptera exigua,Spodoptera exigua,Spodoptera exigua,Spodoptera exigua,Mythimna unipuncta,Cydia pomonella
Spodoptera exigua,Amyelois transitella,Cydia pomonella,Paleacrita vernata,Spodoptera exigua,Spodoptera praefica,Sabulodes aegrotata,Agrotis ipsilon,,Pandemis pyrusana,,,Archips argyrospila,Trichoplusia ni,Spodoptera exigua,Trichoplusia ni,Spodoptera exigua,Trichoplusia ni,Spodoptera praefica,Spodoptera praefica,Spodoptera praefica,Amyelois transitella,Peridroma saucia,Xestia c-nigrum,Archips argyrospila,Spodoptera exigua,Choristoneura rosaceana,,Choristoneura rosaceana,Spodoptera exigua,,Spodoptera ornithogalli,Choristoneura rosaceana,Xylomyges curialis,Ectomyelois ceratoniae,Peridroma saucia,Alsophila pometaria,Spodoptera praefica,Spodoptera praefica,Agrotis ipsilon,Trichoplusia ni,Spodoptera praefica,Agrotis ipsilon,Agrotis ipsilon,Hyphantria cunea
Euxoa auxiliaris,Grapholita molesta,Spilonota ocellana,Archips argyrospila,Spodoptera ornithogalli,Euxoa messoria,Argyrotaenia franciscana,Agrotis subterranea,,Epiphyas postvittana,,,Amphipyra pyramidoides,,Papilio zelicaon,Agrotis ipsilon,Spodoptera praefica,Spodoptera exigua,Spodoptera ornithogalli,Helicoverpa zea,Trichoplusia ni,,Spodoptera ornithogalli,Peridroma saucia,Choristoneura rosaceana,Helicoverpa zea,Platynota stultana,,Platynota stultana,Xestia c-nigrum,,Spodoptera exigua,Orgyia vetusta,Cydia pomonella,Amyelois transitella,Phthorimaea operculella,Paleacrita vernata,,,Trichoplusia ni,Helicoverpa zea,Agrotis orthogonia,Peridroma saucia,Feltia subterranea,Archips argyrospila
Feltia subterranea,Anarsia lineatella,Archips argyrospila,Orthosia hibisci,Autographa californica,Peridroma saucia,Argyrotaenia citrana,Peridroma saucia,,Platynota stultana,,,Orthosia hibisci,,Egira curialis,Crymodes devastator,Helicoverpa zea,Helicoverpa zea,Trichoplusia ni,Agrotis ipsilon,Marmara gulosa,,Trichoplusia ni,Epiphyas postvittana,Argyrotaenia citrana,Heliothis virescens,Grapholita molesta,,Grapholita molesta,Peridroma saucia,,Platynota stultana,,Alsophila pometaria,Platynota stultana,,Cydia pomonella,,,Helicoverpa zea,Heliothis zea,Agrotis ipsilon,Manduca sexta,Peridroma saucia,Amyelois transitella
Peridroma saucia,Synanthedon exitiosa,Amphipyra pyramidoides,Amphipyra pyramidoides,Trichoplusia ni,,,,,Argyrotaenia franciscana,,,Xylomyges curialis,,Phyllocnistis citrella,Feltia subterranea,Agrotis ipsilon,Bucculatrix thurberiella,Agrotis ipsilon,Peridroma saucia,Manduca sexta,,Plutella xylostella,Platynota stultana,,Agrotis ipsilon,Anarsia lineatella,,Anarsia lineatella,Spodoptera praefica,,Helicoverpa zea,,Hyphantria cunea,,,Hyphantria cunea,,,Feltia subterranea,Agrotis ipsilon,Feltia subterranea,Manduca quinquemaculata,Hylephila phyleus,Schizura concinna
Loxostege,Euzophera semifuneralis,Orthosia hibisci,Xylomyges curialis,,,,,,Argyrotaenia citrana,,,Argyrotaenia franciscana,,Marmara gulosa,Peridroma saucia,Peridroma saucia,Platynota stultana,Feltia subterranea,Autographa californica,Manduca quinquemaculata,,Archips argyrospila,Argyrotaenia franciscana,,Feltia subterranea,Synanthedon exitiosa,,Synanthedon exitiosa,Archips argyrospila,,Heliothis zea,,Archips argyrospila,,,Archips argyrospila,,,Peridroma saucia,Athetis mindara,Peridroma saucia,Autographa californica,Nomophila noctuella,
Spodoptera praefica,Bondia comonana,Argyrotaenia franciscana,Choristoneura rosaceana,,,,,,,,,Argyrotaenia citrana,,Archips argyrospila,Plutella xylostella,Heliothis zea,Udea profundalis,Peridroma saucia,Trichoplusia ni,,,Epiphyas postvittana,Argyrotaenia citrana,,Peridroma saucia,Bondia comonana,,Euzophera semifuneralis,Amphipyra pyramidoides,,,,Orthosia hibisci,,,Orthosia hibisci,,,Spodoptera praefica,Peridroma saucia,Euxoa auxiliaris,Trichoplusia ni,Crambus sperryellus,
,,Argyrotaenia citrana,Argyrotaenia franciscana,,,,,,,,,Grapholita molesta,,Trichoplusia ni,Pieris rapae,,Pectinophora gossypiella,,Estigmene acrea,,,Choristoneura rosaceana,Harrisina brillians,,Autographa californica,Euzophera semifuneralis,,Bondia comonana,Orthosia hibisci,,,,Amphipyra pyramidoides,,,Amphipyra pyramidoides,,,,Pandemis pyrusana,Estigmene acrea,Phthorimaea operculella,Tehama bonifatella,
,,Orgyia vetusta,Argyrotaenia citrana,,,,,,,,,Anarsia lineatella,,Anacamptodes fragilaria,Ptycholoma  peritana,,Estigmene acrea,,Heliothis zea,,,Platynota stultana,,,Trichoplusia ni,,,,Choristoneura rosaceana,,,,Choristoneura rosaceana,,,Xylomyges curialis,,,,Ptycholoma peritana,Loxostege sticticalis,Helicoverpa zea,,
,,Choristoneura rosaceana,Synanthedon exitiosa,,,,,,,,,Synanthedon exitiosa,,Platynota stultana,Clepsis peritana,,Heliothis virescens,,,,,,,,Estigmene acrea,,,,Platynota stultana,,,,Platynota stultana,,,Choristoneura rosaceana,,,,Clepsis peritana,Loxostege cereralis,Heliothis zea,,
,,,Anarsia lineatella,,,,,,,,,Schizura concinna,,Argyrotaenia franciscana,Epiphyas postvittana,,Spodoptera praefica,,,,,,,,Heliothis zea,,,,Argyrotaenia franciscana,,,,Argyrotaenia franciscana,,,Argyrotaenia franciscana,,,,Epiphyas postvittana,Achyra rantalis,Keiferia lycopersicella,,
,,,Schizura concinna,,,,,,,,,Orgyia vetusta,,Argyrotaenia citrana,Argyrotaenia franciscana,,Agrotis ipsilon,,,,,,,,,,,,Argyrotaenia citrana,,,,Argyrotaenia citrana,,,Argyrotaenia citrana,,,,Argyrotaenia franciscana,,Spodoptera praefica,,
,,,Orgyia vetusta,,,,,,,,,,,Pyroderces rileyi,Argyrotaenia citrana,,Feltia subterranea,,,,,,,,,,,,Alsophila pometaria,,,,Synanthedon exitiosa,,,Synanthedon exitiosa,,,,Argyrotaenia citrana,,,,
,,,,,,,,,,,,,,Orgyia vetusta,,,Peridroma saucia,,,,,,,,,,,,Paleacrita vernata,,,,Anarsia lineatella,,,Anarsia lineatella,,,,Estigmene acrea,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schizura concinna,,,Schizura concinna,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malacosoma californicum,,,Malacosoma californicum,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malacosoma disstria,,,Malacosoma disstria,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orgyia vetusta,,,Orgyia vetusta,,,,,,,,